district,party,name,descriptor,year,office,state,cand_key,office_level,bio_in_office,bio_prior_candidacy
1.0,REP,Jerry Carl,former U.S. representative (2021–2025),2026,House,AL,carl j,4,1,0
1.0,REP,Barry Moore,incumbent U.S. representative ( running for U.S. senate ),2026,House,AL,moore b,4,1,0
1.0,REP,Mobile,chief of police and candidate for mayor of Mobile in 2025  (ran for Mobile County sheriff),2026,House,AL,mobile,0,0,1
1.0,REP,Rick Rehm,state representative from the 85th district (2022–present) ( running for reelection ),2026,House,AL,rehm r,2,1,0
1.0,DEM,Clyde Jones,community organizer,2026,House,AL,jones c,0,0,0
1.0,DEM,Kimberly Thomas,sales manager,2026,House,AL,thomas k,0,0,0
1.0,REP,Lucas Burger,real estate agent,2026,House,AL,burger l,0,0,0
1.0,REP,John Mills,former pilot and candidate in the May primary election,2026,House,AL,mills j,0,0,0
1.0,REP,Austin Sidwell,small business executive and candidate in the May primary election,2026,House,AL,sidwell a,0,0,0
1.0,REP,Jimmy Dees,police detective and candidate in the May primary election,2026,House,AL,dees j,0,0,0
1.0,DEM,Shomari Figures,incumbent U.S. representative from the 2nd district ( running for reelection in the 2nd district ),2026,House,AL,figures s,4,1,0
2.0,DEM,Shomari Figures,incumbent U.S. representative,2026,House,AL,figures s,4,1,0
2.0,REP,Hampton Harris,small business owner and nominee in the May primary election,2026,House,AL,harris h,0,0,0
2.0,REP,2024,and candidate for secretary of state in 2026,2026,House,AL,,0,0,1
2.0,REP,United States Department of Agriculture,official,2026,House,AL,agriculture u,0,0,0
2.0,REP,Rhett Marques,state representative from the 91st district (2018–present) and candidate for the 1st district in the May primary,2026,House,AL,marques r,2,1,1
2.0,REP,DARPA,contractor and candidate for the 1st district in the May primary election,2026,House,AL,darpa,0,0,1
2.0,REP,James Richardson,candidate for the 1st district in the May primary,2026,House,AL,richardson j,0,0,1
3.0,REP,Mike Rogers,incumbent U.S. representative,2026,House,AL,rogers m,4,1,0
3.0,DEM,Defense Intelligence Agency,employee,2026,House,AL,agency d,0,0,0
4.0,REP,Robert Aderholt,incumbent U.S. representative,2026,House,AL,aderholt r,4,1,0
4.0,DEM,Amanda Pusczek,registered nurse,2026,House,AL,pusczek a,0,0,0
5.0,REP,Dale Strong,incumbent U.S. representative,2026,House,AL,strong d,4,1,0
5.0,REP,Mo Brooks,former U.S. representative (2011–2023) and candidate for U.S. Senate in 2017 and 2022 ( ran for state house ),2026,House,AL,brooks m,4,1,1
5.0,DEM,Andrew Sneed,mechanical contractor,2026,House,AL,sneed a,0,0,0
5.0,DEM,Greg Howard,podcaster,2026,House,AL,howard g,0,0,0
6.0,REP,Gary Palmer,incumbent U.S. representative,2026,House,AL,palmer g,4,1,0
6.0,DEM,Keith Pilkington,nurse,2026,House,AL,pilkington k,0,0,0
6.0,REP,Case Dixon,physical therapist assistant and candidate in the May primary election,2026,House,AL,dixon c,0,0,0
6.0,DEM,Jacob Bouma-Sims,community organizer,2026,House,AL,sims j,0,0,0
6.0,DEM,Ashtyn Kennedy,substitute teacher,2026,House,AL,kennedy a,0,0,0
6.0,DEM,Pelham,City Council President,2026,House,AL,pelham,1,0,0
7.0,DEM,Terri Sewell,incumbent U.S. representative,2026,House,AL,sewell t,4,1,0
7.0,REP,Ammie Akin,educator,2026,House,AL,akin a,0,0,0
7.0,REP,state board of education,'s 5th district in 2024,2026,House,AL,education s,0,0,0
1.0,REP,Jay Feely,CBS Sports analyst and former Arizona Cardinals football player  (previously ran in the 5th district),2026,House,AZ,feely j,0,0,0
1.0,REP,Jason Duey,combat veteran and former federal prosecutor,2026,House,AZ,duey j,0,0,0
1.0,REP,David Schweikert,incumbent U.S. representative ( ran for governor ),2026,House,AZ,schweikert d,4,1,0
1.0,REP,Gina Swoboda,former chair of the Arizona Republican Party (2024–2026) ( ran for Secretary of State ),2026,House,AZ,swoboda g,3,0,0
1.0,REP,Shawnna Bolick,state senator from the 2nd district (2023–present) and candidate for Secretary of State of Arizona in 2022 ( running for reelection ),2026,House,AZ,bolick s,2,1,1
1.0,REP,Maricopa County Board of Supervisors,from the 2nd district,2026,House,AZ,supervisors m,0,0,0
1.0,REP,Alexander Kolodin,"state representative from the 3rd district (2023–present) ( running for secretary of state , endorsed Chaplik)",2026,House,AZ,kolodin a,3,1,0
1.0,REP,Arizona Republican Party,and candidate for this district in 2022 ( running for state treasurer ),2026,House,AZ,party a,0,0,1
1.0,REP,Danica Patrick,former professional racing driver (endorsed Feely),2026,House,AZ,patrick d,0,0,0
1.0,REP,Michelle Ugenti-Rita,"former state senator from the 23rd district (2019–2023), candidate for Secretary of State of Arizona in 2022 , and candidate for Maricopa County Board of Supervisors in 2024 (endorsed Chaplik)",2026,House,AZ,rita m,2,0,1
1.0,REP,Jim Waring,Phoenix city councilor from the 2nd district (2011–present),2026,House,AZ,waring j,1,1,0
1.0,REP,Carine Werner,state senator from the 4th district (2025–present),2026,House,AZ,werner c,2,1,0
1.0,DEM,Amish Shah,former state representative from the 5th district (2019–2024) and nominee for this district in 2024,2026,House,AZ,shah a,2,1,1
1.0,DEM,Brian del Vecchio,administrative law judge at the Arizona Office of Administrative Hearings,2026,House,AZ,vecchio b,1,0,0
1.0,DEM,Mark Robert Gordon,attorney and Democratic National Committee member,2026,House,AZ,gordon m,0,0,0
1.0,DEM,Daniel Lucio,system engineer,2026,House,AZ,lucio d,0,0,0
1.0,DEM,Victor Weintraub,retired businessman,2026,House,AZ,weintraub v,0,0,0
1.0,DEM,158th Infantry Regiment,and son of former Republican U.S. senator John McCain,2026,House,AZ,regiment t,4,0,0
1.0,IND,Libertarian Party,),2026,House,AZ,party l,0,0,0
1.0,IND,Green Party,),2026,House,AZ,party g,0,0,0
2.0,REP,Eli Crane,incumbent U.S. representative,2026,House,AZ,crane e,4,1,0
2.0,DEM,Jonathan Nez,former president of the Navajo Nation (2019–2023) and nominee for this district in 2024,2026,House,AZ,nez j,0,0,1
2.0,DEM,Eric Descheenie,former state representative from the 7th district (2017–2019),2026,House,AZ,descheenie e,2,1,0
3.0,DEM,Yassamin Ansari,incumbent U.S. representative,2026,House,AZ,ansari y,4,1,0
3.0,REP,Nicholas Glenn,technician ( write-in ),2026,House,AZ,glenn n,0,0,0
4.0,DEM,Greg Stanton,incumbent U.S. representative,2026,House,AZ,stanton g,4,1,0
4.0,REP,Zuhdi Jasser,physician and candidate for this district in 2024,2026,House,AZ,jasser z,0,0,1
4.0,REP,Jerone Davison,"former running back for the Las Vegas Raiders , pastor and candidate for this district in 2022 and 2024",2026,House,AZ,davison j,0,0,1
4.0,REP,Bradley Honer,USAF veteran and graduate student,2026,House,AZ,honer b,0,0,0
4.0,IND,No Labels,),2026,House,AZ,labels n,0,0,0
4.0,IND,John Fillmore,"former Republican state representative (2011–2013, 2019–2023) ( No Labels )",2026,House,AZ,fillmore j,2,1,0
5.0,REP,Mark Lamb,former Pinal County Sheriff (2017–2024) and candidate for U.S. Senate in 2024,2026,House,AZ,lamb m,1,0,1
5.0,REP,Jay Feely,CBS Sports analyst and former Arizona Cardinals football player (running in the 1st district),2026,House,AZ,feely j,0,0,0
5.0,REP,Travis Grantham,former state representative from the 14th district (2017–2025) and candidate for the 4th district in 2012,2026,House,AZ,grantham t,2,1,1
5.0,REP,Andy Biggs,incumbent U.S. representative ( running for governor ),2026,House,AZ,biggs a,4,1,0
5.0,REP,Jake Hoffman,state senator from the 15th district (2023–present) and 2020 fake elector for Donald Trump (endorsed Lamb),2026,House,AZ,hoffman j,2,1,0
5.0,DEM,Elizabeth Lee,nurse,2026,House,AZ,lee e,0,0,0
5.0,DEM,Blake Bracht,attorney,2026,House,AZ,bracht b,0,0,0
6.0,REP,Juan Ciscomani,incumbent U.S. representative,2026,House,AZ,ciscomani j,4,1,0
6.0,DEM,FBI,agent,2026,House,AZ,fbi,0,0,0
6.0,DEM,Chris Donat,mechanical engineer,2026,House,AZ,donat c,0,0,0
6.0,DEM,Mo Goldman,immigration attorney (endorsed Mendoza),2026,House,AZ,goldman m,0,0,0
6.0,DEM,running for state house,),2026,House,AZ,house r,0,0,0
6.0,DEM,Kirsten Engel,former state senator from the 10th district (2021) and nominee for this district in 2022 and 2024,2026,House,AZ,engel k,2,0,1
7.0,DEM,Adelita Grijalva,incumbent U.S. representative,2026,House,AZ,grijalva a,4,1,0
7.0,REP,2024,and 2025,2026,House,AZ,,0,0,0
8.0,REP,Abraham Hamadeh,incumbent U.S. representative,2026,House,AZ,hamadeh a,4,1,0
8.0,DEM,Bernadette Greene-Placentia,truck driver,2026,House,AZ,placentia b,0,0,0
9.0,REP,Paul Gosar,incumbent U.S. representative,2026,House,AZ,gosar p,4,1,0
9.0,DEM,U.S. Navy,veteran,2026,House,AZ,navy u,0,0,0
1.0,DEM,Melat Kiros,graduate student and former attorney,2026,House,CO,kiros m,0,0,0
1.0,DEM,Carter Hanson,substitute teacher,2026,House,CO,hanson c,0,0,0
1.0,DEM,Santiago Palomino,teacher,2026,House,CO,palomino s,0,0,0
1.0,DEM,Tiffany Rodgers,medical office manager,2026,House,CO,rodgers t,0,0,0
1.0,REP,Christy Peterson,office manager,2026,House,CO,peterson c,0,0,0
